title,pleiades_uri,talbert_uri
Rome's World: Opitergio,https://pleiades.stoa.org/places/393459,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1123.html
Rome's World: Concordia,https://pleiades.stoa.org/places/393441,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1124.html
Rome's World: Aqvileia,https://pleiades.stoa.org/places/187290,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1125.html
Rome's World: Patavis,https://pleiades.stoa.org/places/393473,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1126.html
Rome's World: Altino,https://pleiades.stoa.org/places/393374,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1127.html
Rome's World: Adportv̄,https://pleiades.stoa.org/places/393366,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1128.html
Rome's World: Maio medvaco,https://pleiades.stoa.org/places/393359,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1129.html
Rome's World: Vico Ivliani,https://pleiades.stoa.org/places/311160,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace113.html
Rome's World: Mino medvaco,https://pleiades.stoa.org/places/393451,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1130.html
Rome's World: Evrone,https://pleiades.stoa.org/places/393476,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1131.html
Rome's World: Fossis,https://pleiades.stoa.org/places/393429,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1132.html
Rome's World: VII Maria,https://pleiades.stoa.org/places/393493,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1133.html
Rome's World: Radriani,https://pleiades.stoa.org/places/393434,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1134.html
Rome's World: Cornicvlani,https://pleiades.stoa.org/places/393409,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1135.html
Rome's World: Neronia,https://pleiades.stoa.org/places/393457,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1136.html
Rome's World: Sacis Ad Padvm,https://pleiades.stoa.org/places/393488,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1137.html
Rome's World: Avgvsta,https://pleiades.stoa.org/places/393386,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1138.html
Rome's World: Bvtrio,https://pleiades.stoa.org/places/393394,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1139.html
Rome's World: Ad molas,https://pleiades.stoa.org/places/314852,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace114.html
Rome's World: Ravenna,https://pleiades.stoa.org/places/393480,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1140.html
Rome's World: Sabis,https://pleiades.stoa.org/places/393487,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1141.html
Rome's World: Ad novas,https://pleiades.stoa.org/places/393364,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1142.html
Rome's World: Rvbico Fl.,https://pleiades.stoa.org/places/393368,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1143.html
Rome's World: ARIMINO,https://pleiades.stoa.org/places/393379,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1144.html
Rome's World: Pisavro,https://pleiades.stoa.org/places/413256,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1145.html
Rome's World: Fano Fvrtvn(a)e,https://pleiades.stoa.org/places/413129,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1146.html
Rome's World: Isex Fl.,https://pleiades.stoa.org/places/393362,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1147.html
Rome's World: Claterna,https://pleiades.stoa.org/places/393405,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1148.html
Rome's World: Silarvm Fl.,https://pleiades.stoa.org/places/393370,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1149.html
Rome's World: Vasidice,https://pleiades.stoa.org/places/315255,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace115.html
Rome's World: Foro corneli,https://pleiades.stoa.org/places/393424,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1150.html
Rome's World: Sinnvm Fl.,https://pleiades.stoa.org/places/393371,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1151.html
Rome's World: Faventia,https://pleiades.stoa.org/places/393420,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1152.html
Rome's World: Foro Livi,https://pleiades.stoa.org/places/393426,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1153.html
Rome's World: Foro popvli,https://pleiades.stoa.org/places/393427,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1154.html
Rome's World: Cvrita cesena,https://pleiades.stoa.org/places/393397,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1155.html
Rome's World: Adconflventes,https://pleiades.stoa.org/places/393408,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1156.html
Rome's World: Matavrvm Fl.,https://pleiades.stoa.org/places/413199,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1157.html
Rome's World: Adpirvm Filvmeni,https://pleiades.stoa.org/places/416767,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1158.html
Rome's World: Sena Galli,https://pleiades.stoa.org/places/413310,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1159.html
Rome's World: Thacora,https://pleiades.stoa.org/places/315199,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace116.html
Rome's World: Sestias,,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1160.html
Rome's World: ANCONE,https://pleiades.stoa.org/places/413014,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1161.html
Rome's World: Nvmana,https://pleiades.stoa.org/places/413228,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1162.html
Rome's World: Misco Fl.,https://pleiades.stoa.org/places/413203,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1163.html
Rome's World: Polentia,https://pleiades.stoa.org/places/413272,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1164.html
Rome's World: Foro Semproni,https://pleiades.stoa.org/places/413149,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1165.html
Rome's World: Adintercisa,https://pleiades.stoa.org/places/413180,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1166.html
Rome's World: Adcalem,https://pleiades.stoa.org/places/413058,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1167.html
Rome's World: Ad Ensem,https://pleiades.stoa.org/places/412989,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1168.html
Rome's World: Halvillo,https://pleiades.stoa.org/places/413167,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1169.html
Rome's World: Gegetv,https://pleiades.stoa.org/places/173059814,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace117.html
Rome's World: Nvcerio Camellaria,https://pleiades.stoa.org/places/413227,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1170.html
Rome's World: Foro Flāmini,https://pleiades.stoa.org/places/413147,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1171.html
Rome's World: Mevanie,https://pleiades.stoa.org/places/413200,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1172.html
Rome's World: Iovis penninvs,https://pleiades.stoa.org/places/413174,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1173.html
Rome's World: Avsimo,https://pleiades.stoa.org/places/413045,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1174.html
Rome's World: Ricina,https://pleiades.stoa.org/places/413166,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1175.html
Rome's World: Vrbesalvia,https://pleiades.stoa.org/places/413364,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1176.html
Rome's World: Asclopiceno,https://pleiades.stoa.org/places/413036,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1177.html
Rome's World: Sacrata,https://pleiades.stoa.org/places/416851,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1178.html
Rome's World: Fl. Flosis,https://pleiades.stoa.org/places/413139,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace3370.html
Rome's World: Naraggara,https://pleiades.stoa.org/places/315091,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace118.html
Rome's World: Fl. Tinna,https://pleiades.stoa.org/places/413341,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace3372.html
Rome's World: Castello Firmani,https://pleiades.stoa.org/places/413069,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1181.html
Rome's World: Cvpra Maritima,https://pleiades.stoa.org/places/413112,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1182.html
Rome's World: Pavsvlas,https://pleiades.stoa.org/places/413246,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace1183.html
