title,pleiades_uri,,tp_online_uri
TP-Online: Isex Fluvius,https://pleiades.stoa.org/places/393362,,https://tp-online.ku.de/trefferanzeige_en.php?id=160
TP-Online: Claterna,https://pleiades.stoa.org/places/393405,,https://tp-online.ku.de/trefferanzeige_en.php?id=161
TP-Online: Silarvm Fluvius (Silarum Fluvius),https://pleiades.stoa.org/places/393370,,https://tp-online.ku.de/trefferanzeige_en.php?id=162
TP-Online: Vasidice,https://pleiades.stoa.org/places/315255,,https://tp-online.ku.de/trefferanzeige_en.php?id=163
TP-Online: Foro Corneli,https://pleiades.stoa.org/places/393424,,https://tp-online.ku.de/trefferanzeige_en.php?id=164
TP-Online: Sinnum Fluvius,https://pleiades.stoa.org/places/393371,,https://tp-online.ku.de/trefferanzeige_en.php?id=165
TP-Online: Faventia (Faventia),https://pleiades.stoa.org/places/393420,,https://tp-online.ku.de/trefferanzeige_en.php?id=166
TP-Online: Foro Liui (Foro Livi),https://pleiades.stoa.org/places/393426,,https://tp-online.ku.de/trefferanzeige_en.php?id=167
TP-Online: Foro populi (Foro Populi),https://pleiades.stoa.org/places/393427,,https://tp-online.ku.de/trefferanzeige_en.php?id=168
TP-Online: Curita cesena (Curita Cesena),https://pleiades.stoa.org/places/393397,,https://tp-online.ku.de/trefferanzeige_en.php?id=169
TP-Online: Ad Confluentes,https://pleiades.stoa.org/places/393408,,https://tp-online.ku.de/trefferanzeige_en.php?id=170
TP-Online: Matavrum flumen (Mataurum Flumen),https://pleiades.stoa.org/places/413199,,https://tp-online.ku.de/trefferanzeige_en.php?id=171
TP-Online: Ad Pirum Filumeni,https://pleiades.stoa.org/places/416767,,https://tp-online.ku.de/trefferanzeige_en.php?id=172
TP-Online: Sena Galli,https://pleiades.stoa.org/places/413310,,https://tp-online.ku.de/trefferanzeige_en.php?id=173
TP-Online: Thacora,https://pleiades.stoa.org/places/315199,,https://tp-online.ku.de/trefferanzeige_en.php?id=174
TP-Online: Sestias,,,https://tp-online.ku.de/trefferanzeige_en.php?id=175
TP-Online: Ancone,https://pleiades.stoa.org/places/413014,,https://tp-online.ku.de/trefferanzeige_en.php?id=176
TP-Online: Numana,https://pleiades.stoa.org/places/413228,,https://tp-online.ku.de/trefferanzeige_en.php?id=177
TP-Online: Misco Flumen,https://pleiades.stoa.org/places/413203,,https://tp-online.ku.de/trefferanzeige_en.php?id=178
TP-Online: Polentia,https://pleiades.stoa.org/places/413272,,https://tp-online.ku.de/trefferanzeige_en.php?id=179
TP-Online: Foro Semproni,https://pleiades.stoa.org/places/413149,,https://tp-online.ku.de/trefferanzeige_en.php?id=180
TP-Online: Ad intercisa,https://pleiades.stoa.org/places/413180,,https://tp-online.ku.de/trefferanzeige_en.php?id=181
TP-Online: Ad Calem,https://pleiades.stoa.org/places/413058,,https://tp-online.ku.de/trefferanzeige_en.php?id=182
TP-Online: Ad Ensem,https://pleiades.stoa.org/places/412989,,https://tp-online.ku.de/trefferanzeige_en.php?id=183
TP-Online: Halvillo,https://pleiades.stoa.org/places/413167,,https://tp-online.ku.de/trefferanzeige_en.php?id=184
TP-Online: Gegetu,https://pleiades.stoa.org/places/173059814,,https://tp-online.ku.de/trefferanzeige_en.php?id=185
TP-Online: Nucerio Camellaria,https://pleiades.stoa.org/places/413227,,https://tp-online.ku.de/trefferanzeige_en.php?id=186
TP-Online: Foro Flamini,https://pleiades.stoa.org/places/413147,,https://tp-online.ku.de/trefferanzeige_en.php?id=187
TP-Online: Mevanie,https://pleiades.stoa.org/places/413200,,https://tp-online.ku.de/trefferanzeige_en.php?id=188
TP-Online: Iouis penninus id est agubio (Iovis penninus id est Agubio),https://pleiades.stoa.org/places/413174,,https://tp-online.ku.de/trefferanzeige_en.php?id=189
TP-Online: Ausimo,https://pleiades.stoa.org/places/413045,,https://tp-online.ku.de/trefferanzeige_en.php?id=190
TP-Online: Ricina,https://pleiades.stoa.org/places/413166,,https://tp-online.ku.de/trefferanzeige_en.php?id=191
TP-Online: Vrbesaluia (Urbe Salvia),https://pleiades.stoa.org/places/413364,,https://tp-online.ku.de/trefferanzeige_en.php?id=192
TP-Online: Asclopiceno,https://pleiades.stoa.org/places/413036,,https://tp-online.ku.de/trefferanzeige_en.php?id=193
TP-Online: Sacrata,https://pleiades.stoa.org/places/416851,,https://tp-online.ku.de/trefferanzeige_en.php?id=194
TP-Online: Flusor Flumen,https://pleiades.stoa.org/places/413139,,https://tp-online.ku.de/trefferanzeige_en.php?id=195
TP-Online: Naraggara,https://pleiades.stoa.org/places/315091,,https://tp-online.ku.de/trefferanzeige_en.php?id=196
TP-Online: Tinna,https://pleiades.stoa.org/places/413341,,https://tp-online.ku.de/trefferanzeige_en.php?id=197
TP-Online: Castello Firmani,https://pleiades.stoa.org/places/413069,,https://tp-online.ku.de/trefferanzeige_en.php?id=198
TP-Online: Cupra Maritima,https://pleiades.stoa.org/places/413112,,https://tp-online.ku.de/trefferanzeige_en.php?id=199
TP-Online: Pausulas,https://pleiades.stoa.org/places/413246,,https://tp-online.ku.de/trefferanzeige_en.php?id=200
TP-Online: Firmo Viceno,https://pleiades.stoa.org/places/413135,,https://tp-online.ku.de/trefferanzeige_en.php?id=201
TP-Online: Ad aqvas (Ad Aquas),https://pleiades.stoa.org/places/412990,,https://tp-online.ku.de/trefferanzeige_en.php?id=202
TP-Online: Surpicano,https://pleiades.stoa.org/places/416863,,https://tp-online.ku.de/trefferanzeige_en.php?id=203
TP-Online: Ad Martis,https://pleiades.stoa.org/places/413380,,https://tp-online.ku.de/trefferanzeige_en.php?id=204
TP-Online: Palacrinis,https://pleiades.stoa.org/places/413251,,https://tp-online.ku.de/trefferanzeige_en.php?id=205
TP-Online: Foroecri,https://pleiades.stoa.org/places/413146,,https://tp-online.ku.de/trefferanzeige_en.php?id=206
"TP-Online: (unnamed / illegible, no. 27)",,,https://tp-online.ku.de/trefferanzeige_en.php?id=207
TP-Online: Interocrio,https://pleiades.stoa.org/places/413181,,https://tp-online.ku.de/trefferanzeige_en.php?id=208
"TP-Online: (unnamed / illegible, no. 32) [Admartis] (Miller)",https://pleiades.stoa.org/places/413380,,https://tp-online.ku.de/trefferanzeige_en.php?id=209
TP-Online: [Narnia] (Miller),https://pleiades.stoa.org/places/413225,,https://tp-online.ku.de/trefferanzeige_en.php?id=210
TP-Online: Fisternas,https://pleiades.stoa.org/places/413136,,https://tp-online.ku.de/trefferanzeige_en.php?id=211
